,Name dataset,RMSE,MSE,MAE,R2,Time Inference(s)
0,APPLE,0.281,0.071,0.222,0.908,0.103
1,GOOGLE,0.185,0.022,0.140,0.972,0.080
2,MICROSOFT,0.250,0.053,0.195,0.930,0.078
3,AMAZON,0.229,0.042,0.174,0.960,0.078
4,IBM,0.305,0.086,0.234,0.872,0.078
5,TSLA,0.190,0.024,0.144,0.957,0.112
