,Name dataset,RMSE,MSE,MAE,R2,Time Inference(s)
0,APPLE,0.313,0.098,0.251,0.874,0.141
1,GOOGLE,0.214,0.046,0.165,0.947,0.345
2,MICROSOFT,0.277,0.077,0.217,0.901,0.108
3,AMAZON,0.261,0.068,0.200,0.932,0.110
4,IBM,0.337,0.114,0.257,0.834,0.085
5,TSLA,0.202,0.041,0.154,0.936,0.083
