,Name dataset,RMSE,MSE,MAE,R2,Time Inference(s)
0,APPLE,0.266,0.081,0.217,0.905,0.139
1,GOOGLE,0.192,0.050,0.153,0.947,0.204
2,MICROSOFT,0.241,0.069,0.192,0.920,0.113
3,AMAZON,0.224,0.062,0.179,0.940,0.111
4,IBM,0.275,0.085,0.216,0.889,0.104
5,TSLA,0.188,0.048,0.150,0.938,0.072
